ID	Group	Type	Text	Comment	xmin	xmax	ymin	ymax	alpha	color	Evaluate	Resolution	Evaluate_bigbox	shape
5	input data 1	Arrow		3 -> 2	2	2	-1.5	-0.5	0.5	#EA6155	T	NA	F	
5	input data 1	Arrow		1 -> 3	0.5	1.5	0	0	0.5	#EA6155	T	NA	F	
5	input data 1	Arrow		2 -> 4	2	2	-2.5	-3.5	0.5	#EA6155	T	NA	F	
5	input data 1	Arrow		4 -> 5	2	2	-4.5	-5.5	0.5	#EA6155	T	NA	F	
5	input data 1	Arrow		5 -> 7	2	2	-6.5	-7.5	0.5	#EA6155	T	NA	F	
5	input data 1	Arrow		7 -> 8	2	2	-8.5	-9.5	0.5	#EA6155	T	NA	F	
5	input data 1	Arrow		8 -> 9	2	2	-10.5	-11.5	0.5	#EA6155	T	NA	F	
5	input data 1	Arrow		9 -> 10	2	2	-12.5	-13.5	0.5	#EA6155	T	NA	F	
5	input data 1	Arrow		6 -> 5	3.5	2.5	-6	-6	0.5	#EA6155	T	NA	F	
5	input data 1	Arrow		1 -> 9	0	1.5	-12	-12	0.5	#EA6155	T	NA	F	
5	input data 1	Arrow		1 -> 11	-0.5	-1.5	-0.5	-1.5	0.5	#EA6155	T	NA	F	
														
														
1	input data 1	Box	Drone Flights		-0.5	0.5	-0.5	0.5	0.5	#f94144	T	8 mm 	F	diamond
2	input data 1	Box	Pixel Extraction		1.5	2.5	-2.5	-1.5	0.5	#f9c74f	T	8 mm 	F	square
3	input data 1	Box	Training Polygons		1.5	2.5	-0.5	0.5	0.5	#f94144	T	8 mm 	F	diamond
4	input data 1	Box	New Training alaligne Dataset		1.5	2.5	-4.5	-3.5	0.5	#f94144	T	8 mm 	F	diamond
5	input data 1	Box	Merging datasets		1.5	2.5	-6.5	-5.5	0.5	#f9c74f	T	8 mm 	F	square
6	input data 1	Box	DISCOV-v1		3.5	4.5	-6.5	-5.5	0.5	#f94144	T	8 mm 	F	diamond
7	input data 1	Box	Training Model		1.5	2.5	-8.5	-7.5	0.5	#f9c74f	T	8 mm 	F	square
8	input data 1	Box	DISCOV-v2		1.5	2.5	-10.5	-9.5	0.5	#f94144	T	8 mm 	F	diamond
9	input data 1	Box	Prediction		1.5	2.5	-12.5	-11.5	0.5	#f9c74f	T	8 mm 	F	square
10	input data 1	Box	Classification alaligne map		1.5	2.5	-14.5	-13.5	0.5	#f94144	T	8 mm 	F	diamond
11	input data 1	Box	Validation alaligne Application		-2.5	-1.5	-2.5	-1.5	0.5	#f9c74f	T	8 mm 	F	square
12	input data 1	Box	Independant alaligne Users		-4.5	-3.5	-2.5	-1.5	0.5	#f94144	T	8 mm 	F	diamond
13	input data 1	Box	Validation alaligne Dataset		-2.5	-1.5	-4.5	-3.5	0.5	#f94144	T	8 mm 	F	diamond
14	input data 1	Box	Validation		-2.5	-1.5	-6.5	-5.5	0.5	#f9c74f	T	8 mm 	F	square
15	input data 1	Box	Accuracy alaligne Score		-2.5	-1.5	-8.5	-7.5	0.5	#f94144	T	8 mm 	F	diamond
														
														
														
														
														
														
														
														
5	input data 1	Segment		1 -> 9	0	0	-0.5	-12	0.5	#EA6155	T	NA	F	
